,variable_code,label,concept,predicateType,group,attributes
6649,S0506_C04_056E,FOREIGN BORN; BORN IN OTHER CENTRAL AMERICA!!ESTIMATE!!EMPLOYMENT STATUS!!POPULATION 16 YEARS AND OVER,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,int,S0506,"S0506_C04_056EA,S0506_C04_056M,S0506_C04_056MA"
6650,S2601B_C03_016E,ADULT CORRECTIONAL FACILITIES!!ESTIMATE!!UNDER 18 YEARS!!FEMALE,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C03_016EA,S2601B_C03_016M,S2601B_C03_016MA"
6651,S0103PR_C02_023E,65 YEARS AND OVER!!ESTIMATE!!HOUSEHOLDS BY TYPE!!HOUSEHOLDS!!FAMILY HOUSEHOLDS!!MARRIED-COUPLE FAMILY,POPULATION 65 YEARS AND OVER IN PUERTO RICO,float,S0103PR,"S0103PR_C02_023EA,S0103PR_C02_023M,S0103PR_C02_023MA"
6652,S0505_C05_138E,FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!SELECTED CHARACTERISTICS!!NO TELEPHONE SERVICE AVAILABLE,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_138EA,S0505_C05_138M,S0505_C05_138MA"
6653,S0504_C02_140E,FOREIGN BORN; BORN IN AFRICA!!ESTIMATE!!OWNER-OCCUPIED HOUSING UNITS,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,"S0504_C02_140EA,S0504_C02_140M,S0504_C02_140MA"
6654,S0506_C04_059E,FOREIGN BORN; BORN IN OTHER CENTRAL AMERICA!!ESTIMATE!!EMPLOYMENT STATUS!!POPULATION 16 YEARS AND OVER!!IN LABOR FORCE!!CIVILIAN LABOR FORCE!!EMPLOYED,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C04_059EA,S0506_C04_059M,S0506_C04_059MA"
6655,S2601B_C03_015E,ADULT CORRECTIONAL FACILITIES!!ESTIMATE!!UNDER 18 YEARS!!MALE,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C03_015EA,S2601B_C03_015M,S2601B_C03_015MA"
6656,S0103PR_C02_022E,65 YEARS AND OVER!!ESTIMATE!!HOUSEHOLDS BY TYPE!!HOUSEHOLDS!!FAMILY HOUSEHOLDS,POPULATION 65 YEARS AND OVER IN PUERTO RICO,float,S0103PR,"S0103PR_C02_022EA,S0103PR_C02_022M,S0103PR_C02_022MA"
6657,S0701_C01_056E,TOTAL!!ESTIMATE!!PERCENT IMPUTED!!RESIDENCE 1 YEAR AGO,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN THE UNITED STATES,float,S0701,"S0701_C01_056EA,S0701_C01_056M,S0701_C01_056MA"
6658,S2601B_C03_014E,ADULT CORRECTIONAL FACILITIES!!ESTIMATE!!UNDER 18 YEARS,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,int,S2601B,"S2601B_C03_014EA,S2601B_C03_014M,S2601B_C03_014MA"
6659,S0505_C05_131E,FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!ROOMS!!4 OR 5 ROOMS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_131EA,S0505_C05_131M,S0505_C05_131MA"
6660,S0506_C04_058E,FOREIGN BORN; BORN IN OTHER CENTRAL AMERICA!!ESTIMATE!!EMPLOYMENT STATUS!!POPULATION 16 YEARS AND OVER!!IN LABOR FORCE!!CIVILIAN LABOR FORCE,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: LATIN AMERICA,float,S0506,"S0506_C04_058EA,S0506_C04_058M,S0506_C04_058MA"
6661,S0103PR_C02_021E,65 YEARS AND OVER!!ESTIMATE!!HOUSEHOLDS BY TYPE!!HOUSEHOLDS,POPULATION 65 YEARS AND OVER IN PUERTO RICO,int,S0103PR,"S0103PR_C02_021EA,S0103PR_C02_021M,S0103PR_C02_021MA"
6662,S1702_C03_029E,MARRIED-COUPLE FAMILIES!!TOTAL!!ESTIMATE!!NUMBER OF PEOPLE IN FAMILY!!7 OR MORE PEOPLE,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES,int,S1702,"S1702_C03_029EA,S1702_C03_029M,S1702_C03_029MA"
6663,S2601B_C03_013E,ADULT CORRECTIONAL FACILITIES!!ESTIMATE!!85 YEARS AND OVER,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C03_013EA,S2601B_C03_013M,S2601B_C03_013MA"
6664,S0505_C05_132E,FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!ROOMS!!6 OR 7 ROOMS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_132EA,S0505_C05_132M,S0505_C05_132MA"
6665,S2503_C02_049E,OWNER-OCCUPIED HOUSING UNITS!!ESTIMATE!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!ZERO OR NEGATIVE INCOME,FINANCIAL CHARACTERISTICS,float,S2503,"S2503_C02_049EA,S2503_C02_049M,S2503_C02_049MA"
6666,S0504_C02_142E,FOREIGN BORN; BORN IN AFRICA!!ESTIMATE!!OWNER-OCCUPIED HOUSING UNITS!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!30 PERCENT OR MORE,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,"S0504_C02_142EA,S0504_C02_142M,S0504_C02_142MA"
6667,S0103PR_C02_020E,65 YEARS AND OVER!!ESTIMATE!!RELATIONSHIP!!POPULATION IN HOUSEHOLDS!!NONRELATIVES!!UNMARRIED PARTNER,POPULATION 65 YEARS AND OVER IN PUERTO RICO,float,S0103PR,"S0103PR_C02_020EA,S0103PR_C02_020M,S0103PR_C02_020MA"
6668,S0505_C05_133E,FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!ROOMS!!8 OR MORE ROOMS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_133EA,S0505_C05_133M,S0505_C05_133MA"
6669,S2601B_C03_012E,ADULT CORRECTIONAL FACILITIES!!ESTIMATE!!75 TO 84 YEARS,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C03_012EA,S2601B_C03_012M,S2601B_C03_012MA"
6670,S2503_C02_048E,"OWNER-OCCUPIED HOUSING UNITS!!ESTIMATE!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 OR MORE!!30 PERCENT OR MORE",FINANCIAL CHARACTERISTICS,float,S2503,"S2503_C02_048EA,S2503_C02_048M,S2503_C02_048MA"
6671,S0504_C02_141E,FOREIGN BORN; BORN IN AFRICA!!ESTIMATE!!OWNER-OCCUPIED HOUSING UNITS!!SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!LESS THAN 30 PERCENT,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,"S0504_C02_141EA,S0504_C02_141M,S0504_C02_141MA"
6672,S2301_C02_019E,IN LABOR FORCE!!ESTIMATE!!POPULATION 20 TO 64 YEARS,EMPLOYMENT STATUS,float,S2301,"S2301_C02_019EA,S2301_C02_019M,S2301_C02_019MA"
6673,S0505_C05_134E,FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!MEDIAN NUMBER OF ROOMS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_134EA,S0505_C05_134M,S0505_C05_134MA"
6674,S2601B_C03_011E,ADULT CORRECTIONAL FACILITIES!!ESTIMATE!!65 TO 74 YEARS,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C03_011EA,S2601B_C03_011M,S2601B_C03_011MA"
6675,S2503_C02_047E,"OWNER-OCCUPIED HOUSING UNITS!!ESTIMATE!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 OR MORE!!20 TO 29 PERCENT",FINANCIAL CHARACTERISTICS,float,S2503,"S2503_C02_047EA,S2503_C02_047M,S2503_C02_047MA"
6676,S0504_C02_144E,FOREIGN BORN; BORN IN AFRICA!!ESTIMATE!!RENTER-OCCUPIED HOUSING UNITS!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!LESS THAN 30 PERCENT,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,"S0504_C02_144EA,S0504_C02_144M,S0504_C02_144MA"
6677,S2301_C02_018E,"IN LABOR FORCE!!ESTIMATE!!WHITE ALONE, NOT HISPANIC OR LATINO",EMPLOYMENT STATUS,float,S2301,"S2301_C02_018EA,S2301_C02_018M,S2301_C02_018MA"
6678,S2702PR_C02_061E,UNINSURED POPULATION!!ESTIMATE!!CLASS OF WORKER!!STATE GOVERNMENT WORKERS,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_061EA,S2702PR_C02_061M,S2702PR_C02_061MA"
6679,S2402_C01_001E,"TOTAL!!ESTIMATE!!FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER","OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,"S2402_C01_001EA,S2402_C01_001M,S2402_C01_001MA"
6680,S2601B_C03_010E,ADULT CORRECTIONAL FACILITIES!!ESTIMATE!!55 TO 64 YEARS,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE,float,S2601B,"S2601B_C03_010EA,S2601B_C03_010M,S2601B_C03_010MA"
6681,S2503_C02_046E,"OWNER-OCCUPIED HOUSING UNITS!!ESTIMATE!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 OR MORE!!LESS THAN 20 PERCENT",FINANCIAL CHARACTERISTICS,float,S2503,"S2503_C02_046EA,S2503_C02_046M,S2503_C02_046MA"
6682,S0504_C02_143E,FOREIGN BORN; BORN IN AFRICA!!ESTIMATE!!RENTER-OCCUPIED HOUSING UNITS,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",int,S0504,"S0504_C02_143EA,S0504_C02_143M,S0504_C02_143MA"
6683,S2301_C02_017E,IN LABOR FORCE!!ESTIMATE!!HISPANIC OR LATINO ORIGIN (OF ANY RACE),EMPLOYMENT STATUS,float,S2301,"S2301_C02_017EA,S2301_C02_017M,S2301_C02_017MA"
6684,S0901_C02_010E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_010EA,S0901_C02_010M,S0901_C02_010MA"
6685,S2702PR_C02_060E,UNINSURED POPULATION!!ESTIMATE!!CLASS OF WORKER!!LOCAL GOVERNMENT WORKERS,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_060EA,S2702PR_C02_060M,S2702PR_C02_060MA"
6686,S2503_C02_045E,"OWNER-OCCUPIED HOUSING UNITS!!ESTIMATE!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 OR MORE",FINANCIAL CHARACTERISTICS,float,S2503,"S2503_C02_045EA,S2503_C02_045M,S2503_C02_045MA"
6687,S2301_C02_016E,IN LABOR FORCE!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!TWO OR MORE RACES,EMPLOYMENT STATUS,float,S2301,"S2301_C02_016EA,S2301_C02_016M,S2301_C02_016MA"
6688,S2702PR_C02_063E,UNINSURED POPULATION!!ESTIMATE!!CLASS OF WORKER!!SELF-EMPLOYED WORKERS IN OWN NOT INCORPORATED BUSINESS WORKERS,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_063EA,S2702PR_C02_063M,S2702PR_C02_063MA"
6689,S2402_C01_003E,"TOTAL!!ESTIMATE!!MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS!!MANAGEMENT, BUSINESS, AND FINANCIAL OCCUPATIONS","OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,"S2402_C01_003EA,S2402_C01_003M,S2402_C01_003MA"
6690,S0901_C02_011E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!SOME OTHER RACE,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_011EA,S0901_C02_011M,S0901_C02_011MA"
6691,S2503_C02_044E,"OWNER-OCCUPIED HOUSING UNITS!!ESTIMATE!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 TO $74,999!!30 PERCENT OR MORE",FINANCIAL CHARACTERISTICS,float,S2503,"S2503_C02_044EA,S2503_C02_044M,S2503_C02_044MA"
6692,S0504_C02_145E,FOREIGN BORN; BORN IN AFRICA!!ESTIMATE!!RENTER-OCCUPIED HOUSING UNITS!!GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!30 PERCENT OR MORE,"SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: AFRICA, NORTHERN AMERICA, AND OCEANIA",float,S0504,"S0504_C02_145EA,S0504_C02_145M,S0504_C02_145MA"
6693,S2301_C02_015E,IN LABOR FORCE!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!SOME OTHER RACE,EMPLOYMENT STATUS,float,S2301,"S2301_C02_015EA,S2301_C02_015M,S2301_C02_015MA"
6694,S2702PR_C02_062E,UNINSURED POPULATION!!ESTIMATE!!CLASS OF WORKER!!FEDERAL GOVERNMENT WORKERS,SELECTED CHARACTERISTICS OF THE UNINSURED IN PUERTO RICO,float,S2702PR,"S2702PR_C02_062EA,S2702PR_C02_062M,S2702PR_C02_062MA"
6695,S0505_C05_130E,FOREIGN BORN; BORN IN SOUTH EASTERN ASIA!!ESTIMATE!!ROOMS!!2 OR 3 ROOMS,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH: ASIA,float,S0505,"S0505_C05_130EA,S0505_C05_130M,S0505_C05_130MA"
6696,S0901_C02_012E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!TWO OR MORE RACES,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_012EA,S0901_C02_012M,S0901_C02_012MA"
6697,S2402_C01_002E,"TOTAL!!ESTIMATE!!MANAGEMENT, BUSINESS, SCIENCE, AND ARTS OCCUPATIONS","OCCUPATION BY SEX AND MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER",int,S2402,"S2402_C01_002EA,S2402_C01_002M,S2402_C01_002MA"
6698,S2503_C02_043E,"OWNER-OCCUPIED HOUSING UNITS!!ESTIMATE!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 TO $74,999!!20 TO 29 PERCENT",FINANCIAL CHARACTERISTICS,float,S2503,"S2503_C02_043EA,S2503_C02_043M,S2503_C02_043MA"
6699,S0901_C02_001E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!CHILDREN UNDER 18 YEARS IN HOUSEHOLDS,CHILDREN CHARACTERISTICS,int,S0901,"S0901_C02_001EA,S0901_C02_001M,S0901_C02_001MA"
6700,S1702_C03_022E,MARRIED-COUPLE FAMILIES!!TOTAL!!ESTIMATE!!NUMBER OF RELATED CHILDREN UNDER 18 YEARS!!NO CHILD,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES,int,S1702,"S1702_C03_022EA,S1702_C03_022M,S1702_C03_022MA"
6701,S2601APR_C02_030E,TOTAL GROUP QUARTERS POPULATION!!ESTIMATE!!NOT HISPANIC OR LATINO,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION IN PUERTO RICO,float,S2601APR,"S2601APR_C02_030EA,S2601APR_C02_030M,S2601APR_C02_030MA"
6702,S1702_C03_021E,MARRIED-COUPLE FAMILIES!!TOTAL!!ESTIMATE!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!BACHELOR'S DEGREE OR HIGHER,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES,int,S1702,"S1702_C03_021EA,S1702_C03_021M,S1702_C03_021MA"
6703,S0901_C02_002E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!AGE!!UNDER 6 YEARS,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_002EA,S0901_C02_002M,S0901_C02_002MA"
6704,S1702_C03_024E,MARRIED-COUPLE FAMILIES!!TOTAL!!ESTIMATE!!NUMBER OF RELATED CHILDREN UNDER 18 YEARS!!3 OR 4 CHILDREN,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES,int,S1702,"S1702_C03_024EA,S1702_C03_024M,S1702_C03_024MA"
6705,S0901_C02_003E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!AGE!!6 TO 11 YEARS,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_003EA,S0901_C02_003M,S0901_C02_003MA"
6706,S2601APR_C02_032E,TOTAL GROUP QUARTERS POPULATION!!ESTIMATE!!MARITAL STATUS!!POPULATION 15 YEARS AND OVER,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION IN PUERTO RICO,int,S2601APR,"S2601APR_C02_032EA,S2601APR_C02_032M,S2601APR_C02_032MA"
6707,S1702_C03_023E,MARRIED-COUPLE FAMILIES!!TOTAL!!ESTIMATE!!NUMBER OF RELATED CHILDREN UNDER 18 YEARS!!1 OR 2 CHILDREN,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES,int,S1702,"S1702_C03_023EA,S1702_C03_023M,S1702_C03_023MA"
6708,S0901_C02_004E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!AGE!!12 TO 17 YEARS,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_004EA,S0901_C02_004M,S0901_C02_004MA"
6709,S2601APR_C02_031E,"TOTAL GROUP QUARTERS POPULATION!!ESTIMATE!!WHITE ALONE, NOT HISPANIC OR LATINO",CHARACTERISTICS OF THE GROUP QUARTERS POPULATION IN PUERTO RICO,float,S2601APR,"S2601APR_C02_031EA,S2601APR_C02_031M,S2601APR_C02_031MA"
6710,S1601_C02_018E,"PERCENT OF SPECIFIED LANGUAGE SPEAKERS!!SPEAK ENGLISH ""VERY WELL""!!ESTIMATE!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!ASIAN AND PACIFIC ISLAND LANGUAGES!!18-64 YEARS",LANGUAGE SPOKEN AT HOME,float,S1601,"S1601_C02_018EA,S1601_C02_018M,S1601_C02_018MA"
6711,S2702_C02_030E,UNINSURED POPULATION!!ESTIMATE!!NATIVITY AND U.S. CITIZENSHIP STATUS!!FOREIGN BORN!!NOT A CITIZEN,SELECTED CHARACTERISTICS OF THE UNINSURED IN THE UNITED STATES,float,S2702,"S2702_C02_030EA,S2702_C02_030M,S2702_C02_030MA"
6712,S0901_C02_005E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_005EA,S0901_C02_005M,S0901_C02_005MA"
6713,S1702_C03_026E,MARRIED-COUPLE FAMILIES!!TOTAL!!ESTIMATE!!NUMBER OF PEOPLE IN FAMILY!!2 PEOPLE,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES,int,S1702,"S1702_C03_026EA,S1702_C03_026M,S1702_C03_026MA"
6714,S1601_C02_019E,"PERCENT OF SPECIFIED LANGUAGE SPEAKERS!!SPEAK ENGLISH ""VERY WELL""!!ESTIMATE!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!ASIAN AND PACIFIC ISLAND LANGUAGES!!65 YEARS AND OVER",LANGUAGE SPOKEN AT HOME,float,S1601,"S1601_C02_019EA,S1601_C02_019M,S1601_C02_019MA"
6715,S0502_C01_039E,"TOTAL!!ESTIMATE!!MARITAL STATUS!!POPULATION 15 YEARS AND OVER!!NOW MARRIED, EXCEPT SEPARATED",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO THE UNITED STATES,float,S0502,"S0502_C01_039EA,S0502_C01_039M,S0502_C01_039MA"
6716,S2702_C02_031E,UNINSURED POPULATION!!ESTIMATE!!DISABILITY STATUS!!WITH A DISABILITY,SELECTED CHARACTERISTICS OF THE UNINSURED IN THE UNITED STATES,float,S2702,"S2702_C02_031EA,S2702_C02_031M,S2702_C02_031MA"
6717,S0901_C02_006E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!WHITE,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_006EA,S0901_C02_006M,S0901_C02_006MA"
6718,S1702_C03_025E,MARRIED-COUPLE FAMILIES!!TOTAL!!ESTIMATE!!NUMBER OF RELATED CHILDREN UNDER 18 YEARS!!5 OR MORE CHILDREN,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES,int,S1702,"S1702_C03_025EA,S1702_C03_025M,S1702_C03_025MA"
6719,S0901_C02_007E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!BLACK OR AFRICAN AMERICAN,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_007EA,S0901_C02_007M,S0901_C02_007MA"
6720,S2702_C02_032E,UNINSURED POPULATION!!ESTIMATE!!DISABILITY STATUS!!NO DISABILITY,SELECTED CHARACTERISTICS OF THE UNINSURED IN THE UNITED STATES,float,S2702,"S2702_C02_032EA,S2702_C02_032M,S2702_C02_032MA"
6721,S1702_C03_028E,MARRIED-COUPLE FAMILIES!!TOTAL!!ESTIMATE!!NUMBER OF PEOPLE IN FAMILY!!5 OR 6 PEOPLE,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES,int,S1702,"S1702_C03_028EA,S1702_C03_028M,S1702_C03_028MA"
6722,S0502_C01_038E,TOTAL!!ESTIMATE!!MARITAL STATUS!!POPULATION 15 YEARS AND OVER!!NEVER MARRIED,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO THE UNITED STATES,float,S0502,"S0502_C01_038EA,S0502_C01_038M,S0502_C01_038MA"
6723,S2702_C02_033E,UNINSURED POPULATION!!ESTIMATE!!RESIDENCE 1 YEAR AGO!!CIVILIAN NONINSTITUTIONALIZED POPULATION 1 YEAR AND OVER,SELECTED CHARACTERISTICS OF THE UNINSURED IN THE UNITED STATES,int,S2702,"S2702_C02_033EA,S2702_C02_033M,S2702_C02_033MA"
6724,S0901_C02_008E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!AMERICAN INDIAN AND ALASKA NATIVE,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_008EA,S0901_C02_008M,S0901_C02_008MA"
6725,S1702_C03_027E,MARRIED-COUPLE FAMILIES!!TOTAL!!ESTIMATE!!NUMBER OF PEOPLE IN FAMILY!!3 OR 4 PEOPLE,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES,int,S1702,"S1702_C03_027EA,S1702_C03_027M,S1702_C03_027MA"
6726,S0502_C01_037E,TOTAL!!ESTIMATE!!MARITAL STATUS!!POPULATION 15 YEARS AND OVER,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO THE UNITED STATES,int,S0502,"S0502_C01_037EA,S0502_C01_037M,S0502_C01_037MA"
6727,S2601APR_C02_039E,TOTAL GROUP QUARTERS POPULATION!!ESTIMATE!!SCHOOL ENROLLMENT!!POPULATION 3 YEARS AND OVER ENROLLED IN SCHOOL!!NURSERY SCHOOL THROUGH 12TH GRADE,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION IN PUERTO RICO,float,S2601APR,"S2601APR_C02_039EA,S2601APR_C02_039M,S2601APR_C02_039MA"
6728,S0901_C02_009E,IN MARRIED-COUPLE FAMILY HOUSEHOLD!!ESTIMATE!!RACE AND HISPANIC OR LATINO ORIGIN!!ONE RACE!!ASIAN,CHILDREN CHARACTERISTICS,float,S0901,"S0901_C02_009EA,S0901_C02_009M,S0901_C02_009MA"
6729,S2702_C02_034E,UNINSURED POPULATION!!ESTIMATE!!SAME HOUSE,SELECTED CHARACTERISTICS OF THE UNINSURED IN THE UNITED STATES,float,S2702,"S2702_C02_034EA,S2702_C02_034M,S2702_C02_034MA"
6730,S0502_C01_036E,TOTAL!!ESTIMATE!!AVERAGE FAMILY SIZE,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY PERIOD OF ENTRY INTO THE UNITED STATES,float,S0502,"S0502_C01_036EA,S0502_C01_036M,S0502_C01_036MA"
6731,S1601_C02_014E,"PERCENT OF SPECIFIED LANGUAGE SPEAKERS!!SPEAK ENGLISH ""VERY WELL""!!ESTIMATE!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!OTHER INDO-EUROPEAN LANGUAGES!!18-64 YEARS",LANGUAGE SPOKEN AT HOME,float,S1601,"S1601_C02_014EA,S1601_C02_014M,S1601_C02_014MA"
